ENSG00000000003
ENSG00000000005
ENSG00000000938
ENSG00000000971
ENSG00000001461
ENSG00000001617
ENSG00000002549
ENSG00000002587
ENSG00000002726
ENSG00000002933
ENSG00000003137
ENSG00000003147
ENSG00000003249
ENSG00000003400
ENSG00000003436
ENSG00000003989
ENSG00000004399
ENSG00000004468
ENSG00000004776
ENSG00000004799
ENSG00000004838
ENSG00000004846
ENSG00000005020
ENSG00000005022
ENSG00000005073
ENSG00000005102
ENSG00000005108
ENSG00000005187
ENSG00000005243
ENSG00000005249
ENSG00000005513
ENSG00000005884
ENSG00000005961
ENSG00000006016
ENSG00000006042
ENSG00000006118
ENSG00000006210
ENSG00000006327
ENSG00000006377
ENSG00000006432
ENSG00000006451
ENSG00000006468
ENSG00000006534
ENSG00000006606
ENSG00000006638
ENSG00000006747
ENSG00000007038
ENSG00000007062
ENSG00000007171
ENSG00000007237
ENSG00000007264
ENSG00000007312
ENSG00000007314
ENSG00000007350
ENSG00000007372
ENSG00000007908
ENSG00000007933
ENSG00000008118
ENSG00000008277
ENSG00000008394
ENSG00000008441
ENSG00000008517
ENSG00000008838
ENSG00000009950
ENSG00000010278
ENSG00000010319
ENSG00000010327
ENSG00000010438
ENSG00000010610
ENSG00000010932
ENSG00000011028
ENSG00000011105
ENSG00000011114
ENSG00000011198
ENSG00000011201
ENSG00000011347
ENSG00000011405
ENSG00000011422
ENSG00000011426
ENSG00000011454
ENSG00000011465
ENSG00000011590
ENSG00000011600
ENSG00000012048
ENSG00000012124
ENSG00000012171
ENSG00000012223
ENSG00000012779
ENSG00000013297
ENSG00000013374
ENSG00000013588
ENSG00000013725
ENSG00000013810
ENSG00000015171
ENSG00000015285
ENSG00000015475
ENSG00000016402
ENSG00000017427
ENSG00000017483
ENSG00000018236
ENSG00000018280
ENSG00000018408
ENSG00000018625
ENSG00000019144
ENSG00000019169
ENSG00000019549
ENSG00000019582
ENSG00000019991
ENSG00000020181
ENSG00000020633
ENSG00000021355
ENSG00000021645
ENSG00000022267
ENSG00000023330
ENSG00000023445
ENSG00000023608
ENSG00000023839
ENSG00000023902
ENSG00000024422
ENSG00000024526
ENSG00000025039
ENSG00000025423
ENSG00000025434
ENSG00000025708
ENSG00000026297
ENSG00000026559
ENSG00000026751
ENSG00000027697
ENSG00000027869
ENSG00000028137
ENSG00000028277
ENSG00000029534
ENSG00000029559
ENSG00000029993
ENSG00000030304
ENSG00000030582
ENSG00000033170
ENSG00000033627
ENSG00000034971
ENSG00000035403
ENSG00000035499
ENSG00000035720
ENSG00000035862
ENSG00000036448
ENSG00000036473
ENSG00000036530
ENSG00000036672
ENSG00000036828
ENSG00000037897
ENSG00000038295
ENSG00000038382
ENSG00000038427
ENSG00000038945
ENSG00000039068
ENSG00000039139
ENSG00000039319
ENSG00000039560
ENSG00000040275
ENSG00000041353
ENSG00000041982
ENSG00000042493
ENSG00000042753
ENSG00000042980
ENSG00000043039
ENSG00000043355
ENSG00000043462
ENSG00000043591
ENSG00000044524
ENSG00000044574
ENSG00000046604
ENSG00000046653
ENSG00000046889
ENSG00000047346
ENSG00000047457
ENSG00000047648
ENSG00000048162
ENSG00000048462
ENSG00000048540
ENSG00000049130
ENSG00000049192
ENSG00000049247
ENSG00000049249
ENSG00000049323
ENSG00000049449
ENSG00000049540
ENSG00000049656
ENSG00000049768
ENSG00000050030
ENSG00000050165
ENSG00000050344
ENSG00000050405
ENSG00000050628
ENSG00000050730
ENSG00000050767
ENSG00000050820
ENSG00000051108
ENSG00000051128
ENSG00000051341
ENSG00000051523
ENSG00000052126
ENSG00000052795
ENSG00000052802
ENSG00000053372
ENSG00000053702
ENSG00000053918
ENSG00000054179
ENSG00000054277
ENSG00000054523
ENSG00000054598
ENSG00000054654
ENSG00000054803
ENSG00000054938
ENSG00000054967
ENSG00000055118
ENSG00000055163
ENSG00000055483
ENSG00000055732
ENSG00000056291
ENSG00000056558
ENSG00000056736
ENSG00000057019
ENSG00000057294
ENSG00000057657
ENSG00000058404
ENSG00000059377
ENSG00000059728
ENSG00000059804
ENSG00000060138
ENSG00000060558
ENSG00000060718
ENSG00000060982
ENSG00000061337
ENSG00000061455
ENSG00000061656
ENSG00000061918
ENSG00000062716
ENSG00000063438
ENSG00000063660
ENSG00000064042
ENSG00000064205
ENSG00000064225
ENSG00000064300
ENSG00000064393
ENSG00000064651
ENSG00000064652
ENSG00000064655
ENSG00000064692
ENSG00000064886
ENSG00000064989
ENSG00000065054
ENSG00000065320
ENSG00000065328
ENSG00000065485
ENSG00000065534
ENSG00000065618
ENSG00000065833
ENSG00000066056
ENSG00000066279
ENSG00000066294
ENSG00000066336
ENSG00000066468
ENSG00000066629
ENSG00000066697
ENSG00000066735
ENSG00000067082
ENSG00000067113
ENSG00000067141
ENSG00000067208
ENSG00000067225
ENSG00000067715
ENSG00000067798
ENSG00000068001
ENSG00000068078
ENSG00000068366
ENSG00000068489
ENSG00000068831
ENSG00000068912
ENSG00000069020
ENSG00000069122
ENSG00000069399
ENSG00000069424
ENSG00000069431
ENSG00000069482
ENSG00000069493
ENSG00000069535
ENSG00000069702
ENSG00000069849
ENSG00000070031
ENSG00000070081
ENSG00000070087
ENSG00000070190
ENSG00000070193
ENSG00000070404
ENSG00000070501
ENSG00000070526
ENSG00000070915
ENSG00000070961
ENSG00000071054
ENSG00000071073
ENSG00000071205
ENSG00000071242
ENSG00000071282
ENSG00000071537
ENSG00000071539
ENSG00000071575
ENSG00000071909
ENSG00000071967
ENSG00000071991
ENSG00000072110
ENSG00000072133
ENSG00000072163
ENSG00000072195
ENSG00000072201
ENSG00000072274
ENSG00000072401
ENSG00000072571
ENSG00000072682
ENSG00000072694
ENSG00000072832
ENSG00000072952
ENSG00000072954
ENSG00000073060
ENSG00000073111
ENSG00000073282
ENSG00000073712
ENSG00000073737
ENSG00000073756
ENSG00000073849
ENSG00000073861
ENSG00000073910
ENSG00000074047
ENSG00000074181
ENSG00000074410
ENSG00000074416
ENSG00000074527
ENSG00000074590
ENSG00000074660
ENSG00000074695
ENSG00000074706
ENSG00000074800
ENSG00000074842
ENSG00000074966
ENSG00000075213
ENSG00000075218
ENSG00000075223
